#BA government,I:R government

#Republics

aristocratic_republic,aristocratic_republic
theocratic_republic,theocratic_republic
oligarchic_republic,oligarchic_republic
democratic_republic,democratic_republic
plutocratic_republic,plutocratic_republic
athenian_republic,athenian_republic
dictatorship,dictatorship

#Monarchies

despotic_monarchy,despotic_monarchy
aristocratic_monarchy,aristocratic_monarchy
stratocratic_monarchy,stratocratic_monarchy
theocratic_monarchy,theocratic_monarchy
plutocratic_monarchy,plutocratic_monarchy

nomarchy,despotic_monarchy
egyptian_dynasty,theocratic_monarchy
martial_state_monarchy,stratocratic_monarchy
religious_state_monarchy,theocratic_monarchy
trade_state_monarchy,plutocratic_monarchy

#Tribes

tribal_chiefdom,tribal_chiefdom
tribal_kingdom,tribal_kingdom
tribal_federation,tribal_federation

settled_tribal_chiefdom,tribal_kingdom

#Imperial
imperium,imperium
imperial_cult,imperial_cult
